store_name,store_format,address,opening_hours,latitude,longitude,in_baku_study_bbox,google_maps_url,source_url,collected_at_utc
Bravo Whitestone residence,Market,Karabagh street 68,07:00 - 02:00,40.391796,49.860645,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.391796,49.860645&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Roseville residence,Market,Kazim Kazimzade street 30,08:00 - 23:00,40.390942,49.849545,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390942,49.849545&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sabit Orujov st.,Market,Sabit Orujov street 13,07:00 - 23:00,40.380573,49.866737,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380573,49.866737&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
"Bravo Yasamal ""Asan Service""",Market,Abbas Mirza Sharifzade street 66,07:00-02:00,40.37822,49.804775,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.37822,49.804775&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Bakikhanov Mall,Market,"Bakikhanov settlement, Yaver Aliyev street 132",08:00 - 23:00,40.432003,49.954494,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.432003,49.954494&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Tabriz st.,Market,Tabriz street 41,06:00 - 02:00,40.393024,49.857925,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393024,49.857925&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Bilgah,Market,"Nardaran settlement, ""Azerbaijan Qadini"" street",09:00 - 23:00 (only in summer 24/7),40.554775,50.022442,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.554775,50.022442&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Adil İsgandarov st.,Market,"Ganja city, Adil İsgandarov street 2",24/7,40.677341,46.371674,False,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.677341,46.371674&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Adil Mammadov st.,Market,Adil Mammadov street 42C,08:00 - 23:00,40.421795,49.809044,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.421795,49.809044&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Khagani st.,Express,Khagani street 26/32,07:00-02:00,40.374973,49.850178,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.374973,49.850178&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Bulbul st.,Express,Bulbul avenue 18,24/7,40.374413,49.843643,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.374413,49.843643&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Life Center residence,Express,"Narimanov region, Ahmad Rajabli avenue",07:00 - 02:00,40.403027,49.867691,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403027,49.867691&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sabunchu,Express,"Sabunchu settlement, near №3 Hospital",07:00 - 00:00,40.443058,49.942692,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.443058,49.942692&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
"Bravo ""Rahatlıq məkanı"" residence",Market,Alif Hajiyev street,07:00 - 02:00,40.416355,49.933159,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.416355,49.933159&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Akhundov park,Express,Ahmad Javad street 3,07:00-07:00,40.368645,49.830395,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368645,49.830395&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Azinko residence,Express,Aliyar Aliyev street 26,07:00 - 02:00,40.406548,49.876183,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406548,49.876183&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo M.K.Ataturk av.,Express,Mustafa Kamal Ataturk avenue 27,24/7,40.408398,49.847549,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.408398,49.847549&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
"Bravo ""Baku Tennis Academy""",Express,"8th mcr, İbrahimpasha Dadashov street",07:00 - 02:00,40.422466,49.842594,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.422466,49.842594&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Mahammad Khiyabani st.,Express,Mahammad Khiyabani street 202A,07:00 - 00:00,40.399067,49.792599,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.399067,49.792599&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sumgait Railway st.,Express,Sumgait Railway station,06:30 - 00:00,40.56197,49.681252,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.56197,49.681252&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Huseyn Seyidzade st.,Express,Huseyn Seyidzade street 56,07:00-02:00,40.415878,49.819038,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.415878,49.819038&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Khalglar Dostlughu m/s,Express,Bahruz Nuriyev street 2383,07:00 - 00:00,40.402592,49.955204,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.402592,49.955204&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Jamshid Nakhchivanski st.,Express,Jamshid Nakhchivanski street 51,00:00 - 00:00,40.406052,49.949257,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406052,49.949257&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Binagadi,Express,"Binagadi region, ""Xarici Dairəvi"" street 16C",08:00 -23:00,40.429462,49.849884,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.429462,49.849884&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
