sheet_name,0,1,2,3,4,5
1.15.,,"1.15. Area, population size and population density of the economic regions and 
administrative territorial units of the Republic of Azerbaijan  ",,,,
1.15.,,East Zangezur economic region - total,6.34,293.3,303.7,47.90220820189274
1.15.,,including:,,,,
1.15.,,Jabrayil district ,1.04,71.2,73.8,70.96153846153845
1.15.,,Kalbajar district ,1.97,71.1,72.8,36.954314720812185
1.15.,,Gubadli district ,0.8,36.1,37.4,46.74999999999999
1.15.,,Lachin district ,1.83,73,76.7,41.91256830601093
1.15.,,Zangilan district ,0.7,41.9,43,61.42857142857143
1.15.,,,,,,
1.15.,,Shirvan-Salyan economic region - total,6.08,479.5,499.8,82.20394736842105
1.15.,,including:,,,,
1.15.,,Shirvan city,0.07,83.5,86,1228.5714285714284
1.15.,,Bilasuvar district ,1.36,102,108.2,79.55882352941177
1.15.,,Hajigabul district ,1.6,73.3,76.8,47.99999999999999
1.15.,,Neftchala district ,1.45,85.2,87.9,60.62068965517242
1.15.,,Salyan district ,1.6,135.5,140.9,88.0625
1.15.,,,,,,
1.15.,,1) Including areas of islands in the Caspian sea.,,,,
1.15.,,2)With the exception of the population living in the occupied territories during the census.,,,,
