cell_id,nearest_bravo_km,bravo_count_1_5km,nearest_competitor_km,competitor_count_1_5km,nearest_transit_km,transit_count_1km,coverage_gap_score,coverage_gap_rank,centre_latitude,centre_longitude
3,4.0203463544936975,0,0.20111287071529735,4,2.094842142732266,0,1.0,1,40.30660543702225,49.78203419264534
0,3.6428248440649433,0,0.8721272239810657,2,1.9691555581214641,0,0.933945084089528,2,40.306480960898206,49.77026896196969
4,3.4779416145310367,0,0.5125024000282686,4,1.0949690890905754,0,0.905095475362492,3,40.31561271398141,49.78187234728604
8,3.3045446311546325,0,0.225574308032856,3,2.3316574223791733,0,0.8747562156391195,4,40.30672871700511,49.79379949629545
7,3.270367598432605,0,1.4924887408165095,1,0.8492344829802934,1,0.868776262285047,5,40.34263445720365,49.78138637299132
1,3.260335576408411,0,0.6887868255877097,3,1.0484477936812808,0,0.8670209599965295,6,40.31548819844333,49.77010555418256
5,3.166855054795331,0,0.3013714961451999,4,0.09772926460675553,3,0.8506646787679282,7,40.32461997633202,49.78171042891529
2,3.1606017302172003,0,0.3151981806517056,4,0.25895597172326335,3,0.849570534943646,8,40.32449542136959,49.769942072679505
6,3.156242069626271,0,0.49252670344594063,2,0.6820010998557531,3,0.8488077253929931,9,40.33362722407312,49.78154843749607
93,2.807529119672527,0,0.4213669400414415,1,2.06031930442244,0,0.7877934415713188,10,40.43377717663698,49.88584944234769
17,2.770712115773678,0,0.7114285274710275,10,2.91288329112319,0,0.7813515726196609,11,40.306850800825195,49.805564872215875
163,2.7099666084319587,0,0.6064008227913175,22,1.3606823449350347,0,0.7707229348637907,12,40.36268876036832,49.99301694145311
9,2.617806005663692,0,1.0334020434340436,5,1.4990730597381243,0,0.7545975997558588,13,40.31573603299968,49.79363921340098
30,2.5364692069286376,0,0.23838097195342992,10,3.678743236497139,0,0.740366104986808,14,40.30697168846114,49.81733031970247
12,2.3925983375453534,0,1.0305405256897837,21,1.692475497195991,0,0.7151930276480194,15,40.34275789338967,49.793157930729095
162,2.280263295747758,0,0.5198032555181356,33,1.175297324754316,0,0.6955377721598957,16,40.41663221955318,49.980426325056904
154,2.261030207331403,0,0.04203029052494046,25,1.2998364348092266,0,0.6921725598396807,17,40.34456997412253,49.98151222338946
164,2.230515484221822,0,0.1842741259238924,27,2.066814343087538,0,0.6868334005776151,18,40.37169659537893,49.99288286335539
100,2.208623253952012,0,0.5803337331985688,2,1.5682326829968012,0,0.6830029183676805,19,40.433890190041375,49.89763731428295
10,2.187647445838767,0,0.9188396779174297,12,0.9966135209118305,1,0.6793327824872084,20,40.32474333439597,49.79347885819954
11,2.1722556044998176,0,0.5380180644799349,23,1.2705899875469195,0,0.6766396729364521,21,40.333750621192976,49.79331843065448
86,2.103332050643417,0,1.186992864113962,2,1.2115196199499039,0,0.664580122875146,22,40.4336629615939,49.87406163752402
161,2.0524231512804265,0,0.0853266063979378,31,1.3538926440764936,0,0.6556725958240441,23,40.407624489467516,49.98056227682827
166,1.9877088846542905,0,0.7210450094104948,18,2.751450374524885,0,0.644349544495545,24,40.398720013738426,49.992480265875436
92,1.9776829823318665,0,1.0582750934189389,1,1.156044399387889,0,0.6425953129708772,25,40.424769750823415,49.88599809359029
55,1.9527219423393216,0,1.3005190043633539,1,3.8341541173830094,0,0.6382278813088431,26,40.32522479723794,49.840553291723964
104,1.9488451728299767,0,0.8455968436622002,12,1.4700154330276687,0,0.6375495631816106,27,40.397971926985036,49.91000688786442
18,1.8999312336216376,0,0.8744837120314095,9,2.301191598020773,0,0.628991094188447,28,40.31585815547658,49.80540615182287
116,1.8804401243132445,0,1.2834453346832688,4,1.2853786395689961,0,0.6255807359683141,29,40.43411261185503,49.92121325665068
97,1.8230010119238604,0,1.164515778582056,6,0.9911533514553396,1,0.615530617937837,30,40.4068677617873,49.89807835302596
