screening_rank,district,candidate_cells,mean_nearest_bravo_km,population_density_per_sq_km,mean_competitor_count_1_5km,mean_transit_count_1km,bravo_gap_percentile,population_density_percentile,food_retail_activity_percentile,transit_percentile
1,Surakhani,8,1.8204374167272452,1745.0,41.125,0.25,36.17021276595745,34.04255319148936,93.61702127659575,78.72340425531915
2,Khatai,4,1.6898699774468535,9260.0,13.5,0.25,19.148936170212767,93.61702127659575,63.829787234042556,78.72340425531915
3,Sabail,2,1.9158490477251184,3403.333333333333,25.0,0.0,42.5531914893617,65.95744680851064,80.85106382978722,78.72340425531915
4,Surakhani,1,2.0524231512804265,1745.0,31.0,0.0,53.191489361702125,34.04255319148936,87.2340425531915,78.72340425531915
