store_name,store_format,address,latitude,longitude,nearest_bravo_km,nearest_bravo_name,bravo_count_within_1km,bravo_count_within_2km
"Bravo ""AAAF Park"" residence",Express,"167 H. Aliyev avenue, AAAF park legal complex, street No. 28, building 5",40.459625,49.720074,0.5827,Bravo Khirdalan H. Aliyev pr-2,1,2
Bravo Khirdalan H. Aliyev pr-2,Market,"Khirdalan city, H. Aliyev avenue 263",40.463448,49.724785,0.5827,"Bravo ""AAAF Park"" residence",1,3
Bravo Mahammad Hadi st. 136,Express,Mahammad Hadi street 136A,40.390984,49.953701,0.5785,Bravo Ahmedli m/s,3,9
Bravo Ahmedli m/s,Express,"Khatai region, Mahammad Hadi street 182",40.385784,49.953472,0.5785,Bravo Mahammad Hadi st. 136,2,8
Bravo M.K.Ataturk av.,Express,Mustafa Kamal Ataturk avenue 27,40.408398,49.847549,0.5548,Bravo İbrahimpasha Dadashov st.,1,21
Bravo Khatai m/s,Hiper,Babek avenue,40.387726,49.874157,0.5388,Bravo Suleyman Vazirov st.,4,13
Bravo Bakir Chobanzade st.,Express,Bakir Chobanzade street 46A,40.411163,49.931221,0.5382,Bravo Uzbekistan st.,2,7
"Bravo ""Rahatlıq məkanı"" residence",Market,Alif Hajiyev street,40.416355,49.933159,0.5348,Bravo Uzbekistan st.,2,7
Bravo Uzbekistan st.,Express,"Nizami region, Mehdi Abbasov street 15A",40.414879,49.927147,0.5348,"Bravo ""Rahatlıq məkanı"" residence",2,4
Bravo İbrahimpasha Dadashov st.,Express,İbrahimpasha Dadashov street 57,40.411991,49.843002,0.5255,Bravo Sattar Bahlulzade st.,4,14
Bravo Khagani st.,Express,Khagani street 26/32,40.374973,49.850178,0.5182,Bravo Sahil m/s,6,18
Bravo Renessance Palace residence,Market,Zahid Khalilov street 576,40.384518,49.812393,0.5022,"Bravo ""Chocolate Tower"" residence",7,15
Bravo Podium Mall,Market,"Nizami rayonu, C.Naxçivanski küçəsi 88Q, məhəllə 2566 (Podium Mall 1-ci mərtəbə)",40.408005,49.955822,0.5018,Bravo Ramiz Qambarov st.,4,8
Bravo Jamshid Nakhchivanski st.,Express,Jamshid Nakhchivanski street 51,40.406052,49.949257,0.4967,Bravo Park City residence,5,10
Bravo Suleyman Vazirov st.,Express,Khojali avenue 29,40.383778,49.870468,0.4763,Bravo Sabit Orujov st.,5,14
Bravo Axundov Residence,Market,"Binəqədi rayonu, Süleyman Sani Axundov küçəsi 1R",40.426689,49.84201,0.4722,"Bravo ""Baku Tennis Academy""",3,8
Bravo Sabunchu,Express,"Sabunchu settlement, near №3 Hospital",40.443058,49.942692,0.4668,Bravo Sabunchu Railway st.,1,2
Bravo Sabunchu Railway st.,Express,Asildar Mammadaliyev street,40.446301,49.946194,0.4668,Bravo Sabunchu,1,2
"Bravo Yasamal ""Asan Service""",Market,Abbas Mirza Sharifzade street 66,40.37822,49.804775,0.4614,"Bravo ""Chocolate Tower"" residence",7,12
Bravo Shovkat Mammadova st.,Super,Shovkat Mammadova street 2,40.419731,49.846649,0.4586,"Bravo ""Baku Tennis Academy""",4,8
"Bravo ""Baku Tennis Academy""",Express,"8th mcr, İbrahimpasha Dadashov street",40.422466,49.842594,0.4586,Bravo Shovkat Mammadova st.,4,9
Bravo Şüvəlan,Market,"Bakı şəhəri, Xəzər rayonu, Şüvəlan qəsəbəsi, A. İldırım küçəsi, 30",40.485668,50.174816,0.4575,Bravo Almas İldırım,3,4
Bravo 20 January m/s,Hiper,Tbilisi avenue 3007,40.401619,49.811024,0.4557,Bravo 20 January m/s,3,14
Bravo 20 January m/s,Express,Hasan bay Zardabi avenue 811,40.403976,49.806622,0.4557,Bravo 20 January m/s,3,11
Bravo Aliashraf Alizade st.,Express,Aliashraf Alizade street 65,40.41124,49.870834,0.4500,Bravo Agha Nematulla st.,3,9
Bravo Agha Nematulla st.,Express,Agha Nematulla street 209,40.407623,49.86845,0.4500,Bravo Aliashraf Alizade st.,4,11
Bravo 28 Mall,Super,Azadlig avenue 15A,40.379128,49.846539,0.4472,Bravo Gulustan Residence,7,23
Bravo Gulustan Residence,Express,Bulbul avenue 60,40.380642,49.841648,0.4472,Bravo 28 Mall,7,22
Bravo Huseyn Seyidzade st.,Express,Huseyn Seyidzade street 56,40.415878,49.819038,0.4359,Bravo Javadkhan st.,2,10
Bravo Javadkhan st.,Express,Javadkhan street 4A,40.419746,49.818203,0.4359,Bravo Huseyn Seyidzade st.,3,8
Bravo İstanbul houses,Market,"Binagadi region, Ajami Nakhchivani street 39L",40.41621,49.840031,0.4159,Bravo Sattar Bahlulzade st.,4,14
Bravo Sattar Bahlulzade st.,Express,Sattar Bahlulzade street 1,40.413254,49.837021,0.4159,Bravo İstanbul houses,2,16
Bravo 20 January st.,Express,"Nasimi region, 20 January street",40.412437,49.809032,0.4105,Bravo Mir Jalal st.,4,9
Bravo Winter park,Super,"Mahammad Fuzuli street, in front of Winter park",40.376831,49.835712,0.3864,Bravo Bashir Safaroghlu st.,7,18
Bravo Huseyn Javid av.,Express,Huseyn Javid avenue 55,40.377781,49.81575,0.3845,Bravo Zahid Khalilov st.,4,16
Bravo Mir Jalal st.,Market,"4th mcr, Mir Jalal street 2A",40.412987,49.804237,0.3809,Bravo Moskva prospekti,2,9
Bravo Moskva prospekti,Market,"Bakı şəhəri, Yasamal rayonu, Moskva prospekti 8, 3168-ci məhəllə (“Main Yaşayış Kompleksi” 41 saylı bina)",40.412891,49.79974,0.3809,Bravo Mir Jalal st.,2,9
Bravo Ramiz Qambarov st.,Super,"Bakikhanov settlement, Ramiz Qambarov street 2566",40.412334,49.954147,0.3672,Bravo Park City residence,4,7
Bravo Park City residence,Express,Rustam Rustamov street 72A,40.410393,49.950638,0.3672,Bravo Ramiz Qambarov st.,5,7
Bravo Sabit Orujov st.,Market,Sabit Orujov street 13,40.380573,49.866737,0.3497,Bravo Afiyaddin Jalilov,4,14
Bravo Afiyaddin Jalilov,,,40.377525,49.865719,0.3497,Bravo Sabit Orujov st.,4,14
Bravo Azadlig av.,Super,"Narimanov region, Azadlig avenue 145",40.401787,49.837296,0.3430,Bravo Khan Shushinski st.,6,14
Bravo Roseville residence,Market,Kazim Kazimzade street 30,40.390942,49.849545,0.3401,Bravo A.Bakikhanov st.,5,26
Bravo A.Bakikhanov st.,Express,Abbasgulu agha Bakikhanov street 35-37,40.390858,49.845531,0.3401,Bravo Roseville residence,6,24
Bravo Globus Center,Super,Jafar Jabbarli street 609,40.385128,49.828129,0.3116,Bravo M.F.Akhundov st.,2,26
Bravo M.F.Akhundov st.,Express,Mirza Fatali Akhundov street 179,40.383011,49.825718,0.3116,Bravo Globus Center,1,27
Bravo Babek av.,Market,"Babek avenue 94, near Sarhadchi Sport complex",40.394787,49.963158,0.2970,Bravo S.A.Shirvani st.,2,7
Bravo S.A.Shirvani st.,Express,Seyid Azim Shirvani street 29,40.39259,49.961163,0.2970,Bravo Babek av.,3,7
"Bravo ""Chocolate Tower"" residence",Market,Hasan bay Zardabi avenue,40.380783,49.809059,0.2747,Bravo Zahid Khalilov st.,6,13
Bravo Zahid Khalilov st.,Express,Zahid Khalilov street 568,40.379364,49.811714,0.2747,"Bravo ""Chocolate Tower"" residence",6,15
Bravo Nasib bey Yusifbayli st.,Express,Nasib bay Yusifbayli street 74,40.398125,49.840244,0.2744,Bravo Mirasadulla Mirgasimov st.,7,19
Bravo Whitestone residence,Market,Karabagh street 68,40.391796,49.860645,0.2678,Bravo Tabriz st.,3,21
Bravo Tabriz st.,Market,Tabriz street 41,40.393024,49.857925,0.2678,Bravo Whitestone residence,4,23
Bravo Uzeyir Hajibeyov st.,Express,"Sabail region, Samad Vurghun street 3",40.371468,49.842682,0.2584,Bravo Sahil m/s,7,16
Bravo Shuvalan,Super,"Shuvalan settlement, near Police Academy",40.486343,50.166718,0.2421,Bravo Almas İldırım,2,3
Bravo Almas İldırım,,,40.486629,50.169556,0.2421,Bravo Shuvalan,2,3
Bravo Fatali khan Khoyski st.,Super,"Fatali khan Khoyski street, near №5 Hospital",40.403156,49.864838,0.2420,Bravo Life Center residence,3,13
Bravo Life Center residence,Express,"Narimanov region, Ahmad Rajabli avenue",40.403027,49.867691,0.2420,Bravo Fatali khan Khoyski st.,5,12
Bravo Sea Breeze residence,Express,"Nardaran settlement, Sea Breeze residence",40.587234,49.985023,0.2392,"Bravo Premium ""Sea Breeze""",1,1
"Bravo Premium ""Sea Breeze""",Premium,"Nardaran settlement, “Sea Breeze” recreation and residential complex",40.588493,49.98732,0.2392,Bravo Sea Breeze residence,1,1
Bravo Mirasadulla Mirgasimov st.,Market,Mirasadulla Mirgasimov street,40.395706,49.840885,0.2367,Bravo Rifah Palace residence,8,21
Bravo Rifah Palace residence,Express,Mirasadulla Mirgasimov street 8,40.394775,49.838371,0.2367,Bravo Mirasadulla Mirgasimov st.,8,19
Bravo Sabit Rahman st.,Express,Sabit Rahman street 82B,40.399803,49.83371,0.2241,Bravo Khan Shushinski st.,6,17
Bravo Khan Shushinski st.,Express,Khan Shushinski street,40.398853,49.836044,0.2241,Bravo Sabit Rahman st.,6,18
Bravo Sharifzade Center residence,Super,Abbas Mirza Sharifzade street 380A,40.383671,49.80405,0.2174,Bravo Akim Abbasov st.,6,14
Bravo Akim Abbasov st.,Express,General Akim Abbasov street 1,40.385593,49.804523,0.2174,Bravo Sharifzade Center residence,7,15
Bravo Bulbul st.,Express,Bulbul avenue 18,40.374413,49.843643,0.1338,Bravo Sahil m/s,8,19
Bravo Sahil m/s,Express,Khagani street 21,40.373371,49.844433,0.1338,Bravo Bulbul st.,8,18
Bravo Azerbaijan av.,Express,Azerbaijan avenue 23,40.372826,49.832901,0.1219,Bravo Bashir Safaroghlu st.,7,17
Bravo Bashir Safaroghlu st.,Express,Tabriz Khalilbayli street 31A,40.373669,49.83382,0.1219,Bravo Azerbaijan av.,7,17
Bravo Akhundov park,Express,Ahmad Javad street 3,40.368645,49.830395,0.1059,Bravo Said Rustamov st.,3,17
Bravo Said Rustamov st.,Express,"Sabail region, Hasan Abdullayev street",40.368454,49.82917,0.1059,Bravo Akhundov park,3,17
