cell_id,nearest_bravo_km,bravo_count_1_5km,nearest_competitor_km,competitor_count_1_5km,nearest_transit_km,transit_count_1km,coverage_gap_score,coverage_gap_rank,centre_latitude,centre_longitude,district,population_2026,density_per_sq_km,has_bravo_1km,log_population_density,log_competitor_count,nearest_competitor_km_capped,log_transit_count,nearest_transit_km_capped,context_fit_score,eligible_gap,expansion_screen_score,robust_top15_hits,average_sensitivity_rank,screen_score_coverage_40,screen_score_coverage_50,screen_score_coverage_60,rank_coverage_40,rank_coverage_50,rank_coverage_60
0,3.6428248440649433,0,0.8721272239810657,2,1.9691555581214641,0,0.933945084089528,2,40.306480960898206,49.77026896196969,Sabail,102100.0,3403.333333333333,0,8.132804408909989,1.0986122886681098,0.8721272239810657,0.0,1.9691555581214641,0.010718930433201428,True,0.10005444710149623,0.0,38.333333333333336,0.06400581141486368,0.10005444710149623,0.15640599132317756,39.0,38.0,38.0
1,3.260335576408411,0,0.6887868255877097,3,1.0484477936812808,0,0.8670209599965295,6,40.31548819844333,49.77010555418256,Garadagh,118400.0,109.62962962962963,0,4.70618795221178,1.3862943611198906,0.6887868255877097,0.0,1.0484477936812808,0.0004967547022748054,True,0.020753234418978937,0.0,46.0,0.009837778287800596,0.020753234418978937,0.04377987857107741,46.0,46.0,46.0
2,3.1606017302172003,0,0.3151981806517056,4,0.25895597172326335,3,0.849570534943646,8,40.32449542136959,49.769942072679505,Garadagh,118400.0,109.62962962962963,0,4.70618795221178,1.6094379124341003,0.3151981806517056,1.3862943611198906,0.25895597172326335,0.004171490652489479,True,0.0595312988699886,0.0,41.0,0.03498279793330767,0.0595312988699886,0.1013062349073466,41.0,41.0,41.0
3,4.0203463544936975,0,0.20111287071529735,4,2.094842142732266,0,1.0,1,40.30660543702225,49.78203419264534,Sabail,102100.0,3403.333333333333,0,8.132804408909989,1.6094379124341003,0.20111287071529735,0.0,2.094842142732266,0.06100012452497569,True,0.2469820327978853,0.0,23.666666666666668,0.1867232650878803,0.2469820327978853,0.32668732788207355,26.0,24.0,21.0
4,3.4779416145310367,0,0.5125024000282686,4,1.0949690890905754,0,0.905095475362492,3,40.31561271398141,49.78187234728604,Sabail,102100.0,3403.333333333333,0,8.132804408909989,1.6094379124341003,0.5125024000282686,0.0,1.0949690890905754,0.0383699238235078,True,0.18635569334651517,0.0,30.666666666666668,0.13585396549259868,0.18635569334651517,0.2556307010747685,32.0,31.0,29.0
5,3.166855054795331,0,0.3013714961451999,4,0.09772926460675553,3,0.8506646787679282,7,40.32461997633202,49.78171042891529,Garadagh,118400.0,109.62962962962963,0,4.70618795221178,1.6094379124341003,0.3013714961451999,1.3862943611198906,0.09772926460675553,0.00430947160508677,True,0.06054680238130372,0.0,40.0,0.03569092258308574,0.06054680238130372,0.10271281920680742,40.0,40.0,40.0
6,3.156242069626271,0,0.49252670344594063,2,0.6820010998557531,3,0.8488077253929931,9,40.33362722407312,49.78154843749607,Garadagh,118400.0,109.62962962962963,0,4.70618795221178,1.0986122886681098,0.49252670344594063,1.3862943611198906,0.6820010998557531,0.0015971630549061462,True,0.03681961895126849,0.0,44.0,0.019657726249382466,0.03681961895126849,0.068964453086694,44.0,44.0,44.0
7,3.270367598432605,0,1.4924887408165095,1,0.8492344829802934,1,0.868776262285047,5,40.34263445720365,49.78138637299132,Garadagh,118400.0,109.62962962962963,0,4.70618795221178,0.6931471805599453,1.4924887408165095,0.6931471805599453,0.8492344829802934,9.438702555536525e-05,True,0.009055451798236984,0.0,47.0,0.0036350514200351185,0.009055451798236984,0.02255847243817014,47.0,47.0,47.0
8,3.3045446311546325,0,0.225574308032856,3,2.3316574223791733,0,0.8747562156391195,4,40.30672871700511,49.79379949629545,Sabail,102100.0,3403.333333333333,0,8.132804408909989,1.3862943611198906,0.225574308032856,0.0,2.3316574223791733,0.04456841992167604,True,0.19744999961433396,0.0,28.333333333333332,0.14661255332585352,0.19744999961433396,0.26591517208660215,29.0,28.0,28.0
9,2.617806005663692,0,1.0334020434340436,5,1.4990730597381243,0,0.7545975997558588,13,40.31573603299968,49.79363921340098,Sabail,102100.0,3403.333333333333,0,8.132804408909989,1.791759469228055,1.0334020434340436,0.0,1.4990730597381243,0.019403651444395324,True,0.1210039206242509,0.0,35.333333333333336,0.08391048794532234,0.1210039206242509,0.17449485952198232,36.0,35.0,35.0
