zone_id,district,candidate_cells,centre_latitude,centre_longitude,max_screen_score,mean_screen_score,mean_context_fit_score,mean_coverage_gap_score,mean_nearest_bravo_km,mean_competitor_count_1_5km,mean_transit_count_1km,population_density_per_sq_km,robustness_hits,screening_rank
3,Surakhani,8,40.35919471757219,49.97982006698323,0.6840658092242221,0.5021429306287175,0.43118093517222433,0.6150820658409021,1.8204374167272455,41.125,0.25,1745.0,24,1
2,Khatai,4,40.38679541332445,49.919023246609626,0.5056074320885388,0.452677736833808,0.3499660073913219,0.592236688864854,1.6898699774468535,13.5,0.25,9260.0,12,2
1,Sabail,2,40.338315518385464,49.799123604615176,0.42406160687295086,0.3997526163975875,0.25735868896936365,0.6317762331620906,1.9158490477251182,25.0,0.0,3403.333333333333,6,3
4,Surakhani,1,40.40762448946752,49.98056227682827,0.42935652268592384,0.42935652268592384,0.28115712742464444,0.6556725958240441,2.0524231512804265,31.0,0.0,1745.0,3,4
