cell_id,district,reverse_geocode_name,centre_latitude,centre_longitude,source
13,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.369779622367965,49.79267599630369,OpenStreetMap via Nominatim reverse geocoding
142,Sabunchu,"Sabunçu rayonu, Azərbaycan",40.42542959718615,49.956716874721,OpenStreetMap via Nominatim reverse geocoding
113,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.4070899725796,49.92164486751837,OpenStreetMap via Nominatim reverse geocoding
159,Surakhani,"Suraxanı rayonu, Azərbaycan",40.38960898592607,49.98083399637554,OpenStreetMap via Nominatim reverse geocoding
32,Sabail,"Səbail 2 siəd, Səbail rayonu, Azərbaycan",40.32498645974217,49.817015933094055,OpenStreetMap via Nominatim reverse geocoding
134,Khatai,"Xətai rayonu, Azərbaycan",40.35336799923186,49.9578283671112,OpenStreetMap via Nominatim reverse geocoding
128,Khatai,"Xətai rayonu, Azərbaycan",40.38929207823053,49.94549277922071,OpenStreetMap via Nominatim reverse geocoding
24,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.36990197699894,49.80445232454169,OpenStreetMap via Nominatim reverse geocoding
117,Khatai,"Xətai rayonu, Azərbaycan",40.37116875015709,49.93399651984157,OpenStreetMap via Nominatim reverse geocoding
33,Sabail,"Səbail 2 siəd, Səbail rayonu, Azərbaycan",40.33399382351456,49.81685863340703,OpenStreetMap via Nominatim reverse geocoding
36,Sabail,"Səbail rayonu, Azərbaycan",40.36101582734722,49.81638630838289,OpenStreetMap via Nominatim reverse geocoding
109,Khatai,"Xətai rayonu, Azərbaycan",40.37105958386183,49.922219440448,OpenStreetMap via Nominatim reverse geocoding
129,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.39829973692704,49.94535224210208,OpenStreetMap via Nominatim reverse geocoding
143,Sabunchu,"Sabunçu rayonu, Azərbaycan",40.43443723179647,49.95657765580376,OpenStreetMap via Nominatim reverse geocoding
150,Surakhani,"Suraxanı rayonu, Azərbaycan",40.39851227583949,49.96891612995046,OpenStreetMap via Nominatim reverse geocoding
106,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.41598699340952,49.90971620149452,OpenStreetMap via Nominatim reverse geocoding
125,Khatai,"Xətai rayonu, Azərbaycan",40.36226901525528,49.94591401028672,OpenStreetMap via Nominatim reverse geocoding
137,Khatai,"Xətai rayonu, Azərbaycan",40.38039120700755,49.95741202760098,OpenStreetMap via Nominatim reverse geocoding
84,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.4156481676849,49.874362016096605,OpenStreetMap via Nominatim reverse geocoding
35,Sabail,"Səbail rayonu, Azərbaycan",40.35200850731809,49.81654382108746,OpenStreetMap via Nominatim reverse geocoding
37,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.37002313279333,49.81622872460038,OpenStreetMap via Nominatim reverse geocoding
149,Surakhani,"Suraxanı rayonu, Azərbaycan",40.38950454989515,49.9690535284337,OpenStreetMap via Nominatim reverse geocoding
114,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.41609753350753,49.92150106215747,OpenStreetMap via Nominatim reverse geocoding
49,Sabail,"Səbail rayonu, Azərbaycan",40.36113574632447,49.82816121274915,OpenStreetMap via Nominatim reverse geocoding
87,Khatai,"Xətai rayonu, Azərbaycan",40.37973240380424,49.886740344322384,OpenStreetMap via Nominatim reverse geocoding
127,Khatai,"Xətai rayonu, Azərbaycan",40.38028440505247,49.94563325293624,OpenStreetMap via Nominatim reverse geocoding
43,Binagadi,"Binəqədi 2 siəd, Bakı, Binəqədi rayonu, Azərbaycan",40.42406665917035,49.81528172724615,OpenStreetMap via Nominatim reverse geocoding
135,Khatai,"Xətai rayonu, Azərbaycan",40.362375749627326,49.95768964988503,OpenStreetMap via Nominatim reverse geocoding
48,Sabail,"Səbail 2 siəd, Səbail rayonu, Azərbaycan",40.35212838834599,49.82831715935365,OpenStreetMap via Nominatim reverse geocoding
141,Sabunchu,"Sabunçu rayonu, Azərbaycan",40.41642194809947,49.95685603081528,OpenStreetMap via Nominatim reverse geocoding
57,Sabail,"Səbail 2 siəd, Səbail rayonu, Azərbaycan",40.34323966114251,49.84024487879456,OpenStreetMap via Nominatim reverse geocoding
136,Khatai,"Xətai rayonu, Azərbaycan",40.37138348555286,49.95755087005888,OpenStreetMap via Nominatim reverse geocoding
126,Khatai,"Xətai rayonu, Azərbaycan",40.37127671739374,49.94577366328086,OpenStreetMap via Nominatim reverse geocoding
121,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.407199277148784,49.93342822244527,OpenStreetMap via Nominatim reverse geocoding
54,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.40617231760103,49.82738042343811,OpenStreetMap via Nominatim reverse geocoding
72,Binagadi,"Binəqədi 1 siəd, Bakı, Binəqədi rayonu, Azərbaycan",40.424423610387,49.8506395989985,OpenStreetMap via Nominatim reverse geocoding
40,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.39704496162337,49.81575554642429,OpenStreetMap via Nominatim reverse geocoding
41,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.40605220872735,49.81559767796895,OpenStreetMap via Nominatim reverse geocoding
138,Khatai,"Xətai rayonu, Azərbaycan",40.38939891399047,49.95727312247951,OpenStreetMap via Nominatim reverse geocoding
77,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.41553282403255,49.86257742218984,OpenStreetMap via Nominatim reverse geocoding
71,Binagadi,"Binəqədi 1 siəd, Bakı, Binəqədi rayonu, Azərbaycan",40.41541627954167,49.85079289674371,OpenStreetMap via Nominatim reverse geocoding
66,Sabail,"Səbail rayonu, Azərbaycan",40.37037940694563,49.851558348633645,OpenStreetMap via Nominatim reverse geocoding
88,Khatai,"Xətai rayonu, Azərbaycan",40.38873990226509,49.88659202812659,OpenStreetMap via Nominatim reverse geocoding
14,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.37878683615343,49.79251520648956,OpenStreetMap via Nominatim reverse geocoding
